Predicted_Price,Lower_Bound,Upper_Bound
1315.0,-1456.8083416511809,4086.808341651181
1315.0,-2604.9289490619776,5234.928949061978
1315.0,-3485.9128765830783,6115.912876583078
1315.0,-4228.616683302362,6858.616683302362
1315.0,-4882.951872533003,7512.951872533003
1315.0,-5474.516101835419,8104.516101835419
2191.666666666667,-5054.019229531483,9437.352562864817
2191.666666666667,-6718.450684808505,11101.78401814184
2191.666666666667,-7929.546674976665,12312.88000831
2191.666666666667,-9010.463835923409,13393.797169256744
2191.666666666667,-9995.888300883595,14379.221634216927
2191.666666666667,-10907.389191564453,15290.722524897788
2191.666666666667,-11759.46349067396,16142.796824007295
3068.333333333334,-11554.981685374463,17691.64835204113
3068.333333333334,-13172.982542497602,19309.649209164272
3068.333333333334,-14315.422421928202,20452.08908859487
3068.333333333334,-15387.277925540193,21523.944592206863
3068.333333333334,-16400.210775529296,22536.877442195968
3068.333333333334,-17362.986557921868,23499.65322458854
3068.333333333334,-18282.39160234206,24419.058269008732
3945.000000000001,-18142.68088077873,26032.68088077873
3945.000000000001,-19737.34417762836,27627.34417762836
3945.000000000001,-20846.81136384969,28736.81136384969
3945.000000000001,-21908.71144833495,29798.71144833495
3945.000000000001,-22928.683793012537,30818.683793012537
3945.000000000001,-23911.334388427407,31801.334388427407
3945.000000000001,-24860.48299391875,32750.48299391875
4821.666666666668,-24751.512593450905,34394.84592678424
4821.666666666668,-26332.939703898694,35976.27303723203
4821.666666666668,-27423.578764463742,37066.912097797074
